Outlet_Establishment_Year,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Total_Revenue,Price_Range,Total_Sales_Year,Average_Sales_Year
2009,FDH45,15.1,Regular,0.11,Fruits and Veg,43.28,OUT018,Medium,Tier 3,Supermarket Type2,123.84,5359.8,Low,1851822.95,1995.5
2007,FDQ48,14.3,Regular,0.03,Baking Goods,95.97,OUT017,Medium,Tier 2,Supermarket Type1,2153.2,206642.6,Medium,2167465.52,2340.68
2007,NCP53,14.8,Low Fat,0.03,Health and Hygiene,237.29,OUT017,Medium,Tier 2,Supermarket Type1,3089.98,733221.35,High,2167465.52,2340.68
1985,FDV16,7.8,Regular,0.15,Frozen Foods,35.46,OUT019,Small,Tier 1,Grocery Store,135.82,4816.18,Low,3633620.22,2483.68
1985,FDR52,12.7,Regular,0.13,Frozen Foods,190.88,OUT019,Small,Tier 1,Grocery Store,191.08,36473.35,High,3633620.22,2483.68
2002,FDU50,5.8,Regular,0.08,Dairy,116.32,OUT045,Medium,Tier 2,Supermarket Type1,2519.39,293055.44,Medium,2036725.6,2192.38
2004,FDQ14,9.3,Low Fat,0.06,Dairy,150.11,OUT035,Small,Tier 2,Supermarket Type1,2696.49,404770.11,High,2268123.09,2438.84
1998,FDF20,12.9,Low Fat,0.06,Fruits and Veg,195.68,OUT010,Medium,Tier 3,Grocery Store,394.15,77127.27,High,188340.22,339.35
1998,NCA29,10.5,Low Fat,0.05,Household,169.81,OUT010,Medium,Tier 3,Grocery Store,171.11,29056.19,High,188340.22,339.35
1998,NCC31,8.0,Low Fat,0.03,Household,154.3,OUT010,Medium,Tier 3,Grocery Store,1090.58,168276.49,High,188340.22,339.35
1999,FDT01,13.7,Regular,0.18,Canned,211.49,OUT049,Medium,Tier 1,Supermarket Type1,4035.41,853448.86,High,2183969.98,2348.35
1985,NCE54,20.7,Low Fat,0.05,Household,75.54,OUT019,Small,Tier 1,Grocery Store,150.47,11366.5,Medium,3633620.22,2483.68
2002,NCT17,10.8,Low Fat,0.04,Health and Hygiene,190.02,OUT045,Medium,Tier 2,Supermarket Type1,2449.48,465450.19,High,2036725.6,2192.38
1985,FDU59,5.8,Low Fat,0.1,Breads,162.66,OUT027,Medium,Tier 3,Supermarket Type3,5685.93,924873.37,High,3633620.22,2483.68
1998,FDJ41,6.9,Low Fat,0.04,Frozen Foods,261.26,OUT010,Medium,Tier 3,Grocery Store,1046.64,273445.17,High,188340.22,339.35
1987,FDI19,15.1,Low Fat,0.05,Meat,242.95,OUT013,High,Tier 3,Supermarket Type1,4847.02,1177583.51,High,2142663.66,2299.0
1998,DRJ59,11.7,Low Fat,0.03,Hard Drinks,38.82,OUT010,Medium,Tier 3,Grocery Store,77.23,2998.07,Low,188340.22,339.35
2002,FDV01,19.2,Regular,0.09,Canned,155.43,OUT045,Medium,Tier 2,Supermarket Type1,3568.02,554577.35,High,2036725.6,2192.38
1985,FDK27,11.0,Low Fat,0.02,Meat,122.28,OUT019,Small,Tier 1,Grocery Store,121.18,14817.89,Medium,3633620.22,2483.68
1985,NCH54,13.5,Low Fat,0.13,Household,158.39,OUT019,Small,Tier 1,Grocery Store,159.79,25309.14,High,3633620.22,2483.68
1985,NCH30,17.1,Low Fat,0.07,Household,114.19,OUT027,Medium,Tier 3,Supermarket Type3,1924.16,219719.83,Medium,3633620.22,2483.68
2009,NCB42,11.8,Low Fat,0.01,Health and Hygiene,115.35,OUT018,Medium,Tier 3,Supermarket Type2,1621.89,187085.01,Medium,1851822.95,1995.5
1997,FDD03,13.3,Low Fat,0.08,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,699.09,162559.4,High,2118395.35,2277.84
2004,NCM43,14.5,Low Fat,0.02,Others,164.82,OUT035,Small,Tier 2,Supermarket Type1,2120.57,349512.35,High,2268123.09,2438.84
2009,NCD06,13.0,Low Fat,0.1,Household,46.31,OUT018,Medium,Tier 3,Supermarket Type2,559.27,25899.79,Low,1851822.95,1995.5
2004,FDE24,14.9,Low Fat,0.09,Baking Goods,141.08,OUT035,Small,Tier 2,Supermarket Type1,1139.85,160810.04,Medium,2268123.09,2438.84
2004,FDP32,6.7,Low Fat,0.09,Fruits and Veg,128.87,OUT035,Small,Tier 2,Supermarket Type1,1398.85,180269.8,Medium,2268123.09,2438.84
2009,NCQ42,20.4,Low Fat,0.04,Household,127.97,OUT018,Medium,Tier 3,Supermarket Type2,3560.7,455662.78,Medium,1851822.95,1995.5
1997,NCL53,7.5,Low Fat,0.04,Health and Hygiene,175.3,OUT046,Small,Tier 1,Supermarket Type1,3896.26,683014.38,High,2118395.35,2277.84
1999,FDX39,14.3,Regular,0.05,Meat,210.36,OUT049,Medium,Tier 1,Supermarket Type1,6331.76,1331949.03,High,2183969.98,2348.35
2009,FDW40,14.0,Regular,0.11,Frozen Foods,143.98,OUT018,Medium,Tier 3,Supermarket Type2,1139.85,164115.6,Medium,1851822.95,1995.5
1985,FDR51,9.0,Regular,0.17,Meat,148.47,OUT027,Medium,Tier 3,Supermarket Type3,3761.77,558509.99,Medium,3633620.22,2483.68
1987,FDV57,15.3,Regular,0.07,Snack Foods,179.87,OUT013,High,Tier 3,Supermarket Type1,2696.49,485017.66,High,2142663.66,2299.0
2009,FDL52,6.6,Regular,0.05,Frozen Foods,36.75,OUT018,Medium,Tier 3,Supermarket Type2,75.9,2789.33,Low,1851822.95,1995.5
2002,FDR01,5.4,Regular,0.05,Canned,199.07,OUT045,Medium,Tier 2,Supermarket Type1,4777.78,951112.66,High,2036725.6,2192.38
2009,NCS38,8.6,Low Fat,0.09,Household,112.62,OUT018,Medium,Tier 3,Supermarket Type2,3091.98,348218.79,Medium,1851822.95,1995.5
1998,FDH10,21.0,Low Fat,0.08,Snack Foods,191.85,OUT010,Medium,Tier 3,Grocery Store,774.99,148681.83,High,188340.22,339.35
2009,FDD56,15.2,Regular,0.1,Fruits and Veg,176.51,OUT018,Medium,Tier 3,Supermarket Type2,2976.79,525433.2,High,1851822.95,1995.5
1998,NCB07,19.2,Low Fat,0.13,Household,196.21,OUT010,Medium,Tier 3,Grocery Store,589.23,115612.82,High,188340.22,339.35
1985,NCA06,20.5,Low Fat,0.14,Household,35.92,OUT027,Medium,Tier 3,Supermarket Type3,585.9,21045.53,Low,3633620.22,2483.68
2009,FDT40,6.0,Low Fat,0.1,Frozen Foods,127.17,OUT018,Medium,Tier 3,Supermarket Type2,3560.7,452814.22,Medium,1851822.95,1995.5
1987,FDZ45,14.1,Low Fat,0.07,Snack Foods,198.91,OUT013,High,Tier 3,Supermarket Type1,4761.8,947169.64,High,2142663.66,2299.0
2007,FDN34,15.6,Regular,0.05,Snack Foods,169.21,OUT017,Medium,Tier 2,Supermarket Type1,2536.7,429235.01,High,2167465.52,2340.68
1985,FDN57,18.3,Low Fat,0.05,Snack Foods,141.22,OUT027,Medium,Tier 3,Supermarket Type3,3119.94,440597.93,Medium,3633620.22,2483.68
1998,FDR27,15.1,Regular,0.16,Meat,131.39,OUT010,Medium,Tier 3,Grocery Store,397.48,52224.9,Medium,188340.22,339.35
1998,NCX53,20.1,Low Fat,0.03,Health and Hygiene,140.42,OUT010,Medium,Tier 3,Grocery Store,567.26,79654.65,Medium,188340.22,339.35
2002,FDQ46,7.5,Low Fat,0.1,Snack Foods,112.45,OUT045,Medium,Tier 2,Supermarket Type1,2013.38,226404.58,Medium,2036725.6,2192.38
1985,NCT30,9.1,Low Fat,0.14,Household,47.17,OUT019,Small,Tier 1,Grocery Store,141.82,6689.65,Low,3633620.22,2483.68
2009,FDG56,13.3,Regular,0.07,Fruits and Veg,59.75,OUT018,Medium,Tier 3,Supermarket Type2,918.8,54898.3,Low,1851822.95,1995.5
2002,DRK37,5.0,Low Fat,0.0,Soft Drinks,189.85,OUT045,Medium,Tier 2,Supermarket Type1,4933.58,936640.16,High,2036725.6,2192.38
2009,DRK47,7.9,Low Fat,0.06,Hard Drinks,230.27,OUT018,Medium,Tier 3,Supermarket Type2,3197.17,736212.34,High,1851822.95,1995.5
1999,FDH38,6.4,Low Fat,0.01,Canned,115.68,OUT049,Medium,Tier 1,Supermarket Type1,1406.17,162665.75,Medium,2183969.98,2348.35
1985,FDE08,18.2,Low Fat,0.05,Fruits and Veg,147.77,OUT027,Medium,Tier 3,Supermarket Type3,4602.68,680138.02,Medium,3633620.22,2483.68
2009,FDD32,17.7,Regular,0.04,Fruits and Veg,80.93,OUT018,Medium,Tier 3,Supermarket Type2,487.37,39442.85,Medium,1851822.95,1995.5
2004,FDF09,6.2,Low Fat,0.01,Fruits and Veg,37.98,OUT035,Small,Tier 2,Supermarket Type1,782.98,29737.58,Low,2268123.09,2438.84
2007,FDN39,19.4,Regular,0.07,Meat,167.08,OUT017,Medium,Tier 2,Supermarket Type1,1510.03,252295.81,High,2167465.52,2340.68
1985,FDX57,17.3,Regular,0.05,Snack Foods,96.41,OUT027,Medium,Tier 3,Supermarket Type3,2624.58,253035.76,Medium,3633620.22,2483.68
1985,NCX42,6.4,Low Fat,0.01,Household,162.95,OUT019,Small,Tier 1,Grocery Store,822.26,133987.27,High,3633620.22,2483.68
2009,FDI60,7.2,Regular,0.04,Baking Goods,62.95,OUT018,Medium,Tier 3,Supermarket Type2,1138.52,71669.83,Low,1851822.95,1995.5
1998,NCA18,10.1,Low Fat,0.09,Household,115.95,OUT010,Medium,Tier 3,Grocery Store,231.7,26865.61,Medium,188340.22,339.35
1999,FDF47,20.9,Low Fat,0.1,Starchy Foods,222.87,OUT049,Medium,Tier 1,Supermarket Type1,3589.99,800101.07,High,2183969.98,2348.35
1997,NCJ18,12.4,Low Fat,0.16,Household,117.01,OUT046,Small,Tier 1,Supermarket Type1,1540.66,180272.63,Medium,2118395.35,2277.84
1998,FDI21,5.6,Regular,0.09,Snack Foods,63.12,OUT010,Medium,Tier 3,Grocery Store,191.75,12103.26,Low,188340.22,339.35
1999,FDG38,9.0,Regular,0.05,Canned,86.62,OUT049,Medium,Tier 1,Supermarket Type1,1704.45,147639.46,Medium,2183969.98,2348.35
1985,NCD30,19.7,Low Fat,0.0,Household,98.17,OUT027,Medium,Tier 3,Supermarket Type3,978.73,96081.92,Medium,3633620.22,2483.68
1985,FDQ49,20.2,Regular,0.07,Breakfast,155.56,OUT019,Small,Tier 1,Grocery Store,469.39,73018.31,High,3633620.22,2483.68
2004,FDT21,7.4,Low Fat,0.02,Snack Foods,247.11,OUT035,Small,Tier 2,Supermarket Type1,4233.16,1046056.17,High,2268123.09,2438.84
2002,FDJ22,18.8,Low Fat,0.05,Snack Foods,190.65,OUT045,Medium,Tier 2,Supermarket Type1,1342.25,255899.96,High,2036725.6,2192.38
1998,FDG40,13.7,Low Fat,0.07,Frozen Foods,32.66,OUT010,Medium,Tier 3,Grocery Store,67.91,2217.94,Low,188340.22,339.35
1987,DRB48,16.8,Regular,0.02,Soft Drinks,38.78,OUT013,High,Tier 3,Supermarket Type1,667.8,25897.28,Low,2142663.66,2299.0
1985,DRE60,9.4,Low Fat,0.28,Soft Drinks,225.37,OUT019,Small,Tier 1,Grocery Store,679.12,153053.27,High,3633620.22,2483.68
1997,FDW51,6.2,Regular,0.09,Meat,214.56,OUT046,Small,Tier 1,Supermarket Type1,2769.73,594273.27,High,2118395.35,2277.84
1999,FDX36,9.7,Regular,0.13,Baking Goods,223.94,OUT049,Medium,Tier 1,Supermarket Type1,4950.89,1108702.31,High,2183969.98,2348.35
2002,NCJ29,10.6,Low Fat,0.04,Health and Hygiene,86.12,OUT045,Medium,Tier 2,Supermarket Type1,426.11,36696.59,Medium,2036725.6,2192.38
1985,NCJ54,9.9,Low Fat,0.06,Household,231.76,OUT027,Medium,Tier 3,Supermarket Type3,5344.38,1238613.51,High,3633620.22,2483.68
1985,FDB38,19.5,Regular,0.0,Canned,160.69,OUT019,Small,Tier 1,Grocery Store,319.58,51353.31,High,3633620.22,2483.68
1997,FDD50,18.9,Low Fat,0.14,Canned,168.11,OUT046,Small,Tier 1,Supermarket Type1,2874.92,483302.8,High,2118395.35,2277.84
1997,FDF08,14.3,Regular,0.07,Fruits and Veg,89.89,OUT046,Small,Tier 1,Supermarket Type1,966.74,86900.26,Medium,2118395.35,2277.84
1997,FDZ35,9.6,Regular,0.02,Breads,102.5,OUT046,Small,Tier 1,Supermarket Type1,1547.99,158668.98,Medium,2118395.35,2277.84
2004,FDR20,20.0,Regular,0.03,Fruits and Veg,46.77,OUT035,Small,Tier 2,Supermarket Type1,1222.41,57172.12,Low,2268123.09,2438.84
1999,FDZ44,8.2,Low Fat,0.04,Fruits and Veg,115.68,OUT049,Medium,Tier 1,Supermarket Type1,703.08,81332.29,Medium,2183969.98,2348.35
1998,FDM02,12.5,Regular,0.12,Canned,86.02,OUT010,Medium,Tier 3,Grocery Store,87.22,7502.66,Medium,188340.22,339.35
2004,FDZ56,16.3,Low Fat,0.03,Fruits and Veg,166.45,OUT035,Small,Tier 2,Supermarket Type1,5390.32,897218.76,High,2268123.09,2438.84
1985,DRF03,19.1,Low Fat,0.05,Dairy,39.71,OUT027,Medium,Tier 3,Supermarket Type3,1096.57,43544.79,Low,3633620.22,2483.68
2007,FDL39,16.1,Regular,0.06,Dairy,181.93,OUT017,Medium,Tier 2,Supermarket Type1,5954.25,1083256.7,High,2167465.52,2340.68
1985,FDA04,11.3,Regular,0.07,Frozen Foods,259.8,OUT027,Medium,Tier 3,Supermarket Type3,5697.92,1480319.62,High,3633620.22,2483.68
1998,FDK02,12.5,Low Fat,0.19,Canned,119.24,OUT010,Medium,Tier 3,Grocery Store,119.84,14289.72,Medium,188340.22,339.35
1999,FDX56,17.1,Regular,0.0,Fruits and Veg,208.56,OUT049,Medium,Tier 1,Supermarket Type1,5383.66,1122816.13,High,2183969.98,2348.35
1998,FDO57,20.8,Low Fat,0.18,Snack Foods,161.06,OUT010,Medium,Tier 3,Grocery Store,481.37,77529.45,High,188340.22,339.35
2007,FDA04,11.3,Regular,0.07,Frozen Foods,258.2,OUT017,Medium,Tier 2,Supermarket Type1,4402.94,1136839.11,High,2167465.52,2340.68
1985,FDF40,20.3,Regular,0.04,Dairy,247.81,OUT019,Small,Tier 1,Grocery Store,498.02,123414.34,High,3633620.22,2483.68
1985,FDG46,8.6,Regular,0.06,Snack Foods,115.45,OUT019,Small,Tier 1,Grocery Store,113.85,13143.98,Medium,3633620.22,2483.68
2004,FDM25,10.7,Regular,0.06,Breakfast,174.77,OUT035,Small,Tier 2,Supermarket Type1,3339.65,583670.63,High,2268123.09,2438.84
2004,FDL14,8.1,Regular,0.03,Canned,157.4,OUT035,Small,Tier 2,Supermarket Type1,1869.57,294270.32,High,2268123.09,2438.84
1998,FDU46,10.3,Regular,0.02,Snack Foods,87.85,OUT010,Medium,Tier 3,Grocery Store,259.66,22811.13,Medium,188340.22,339.35
1999,NCS53,14.5,Low Fat,0.09,Health and Hygiene,160.36,OUT049,Medium,Tier 1,Supermarket Type1,2852.29,457393.22,High,2183969.98,2348.35
2002,NCH29,5.5,Low Fat,0.03,Health and Hygiene,99.77,OUT045,Medium,Tier 2,Supermarket Type1,978.73,97647.89,Medium,2036725.6,2192.38
1997,FDE41,9.2,Regular,0.06,Frozen Foods,83.36,OUT046,Small,Tier 1,Supermarket Type1,1437.46,119826.67,Medium,2118395.35,2277.84
2004,FDO20,12.9,Regular,0.15,Fruits and Veg,252.64,OUT035,Small,Tier 2,Supermarket Type1,3532.73,892508.91,High,2268123.09,2438.84
1987,FDL13,13.9,Regular,0.06,Breakfast,232.23,OUT013,High,Tier 3,Supermarket Type1,1398.18,324699.34,High,2142663.66,2299.0
1999,FDO11,8.0,Regular,0.03,Breads,247.41,OUT049,Medium,Tier 1,Supermarket Type1,6972.26,1725006.85,High,2183969.98,2348.35
2002,FDU25,12.4,Low Fat,0.03,Canned,57.42,OUT045,Medium,Tier 2,Supermarket Type1,810.94,46564.17,Low,2036725.6,2192.38
1998,FDL13,13.9,Regular,0.09,Breakfast,233.93,OUT010,Medium,Tier 3,Grocery Store,233.03,54512.71,High,188340.22,339.35
2002,FDB45,20.9,Low Fat,0.02,Fruits and Veg,103.33,OUT045,Medium,Tier 2,Supermarket Type1,522.65,54005.42,Medium,2036725.6,2192.38
2007,NCQ17,10.3,Low Fat,0.12,Health and Hygiene,154.46,OUT017,Medium,Tier 2,Supermarket Type1,2503.41,386676.71,High,2167465.52,2340.68
2007,FDQ16,19.7,Low Fat,0.04,Frozen Foods,108.69,OUT017,Medium,Tier 2,Supermarket Type1,2183.82,237359.4,Medium,2167465.52,2340.68
2009,FDX32,15.1,Regular,0.1,Fruits and Veg,142.58,OUT018,Medium,Tier 3,Supermarket Type2,3323.01,473794.77,Medium,1851822.95,1995.5
1997,FDR21,19.7,Low Fat,0.07,Snack Foods,177.54,OUT046,Small,Tier 1,Supermarket Type1,3175.87,563843.96,High,2118395.35,2277.84
2007,FDS34,19.4,Regular,0.08,Snack Foods,112.75,OUT017,Medium,Tier 2,Supermarket Type1,683.11,77020.65,Medium,2167465.52,2340.68
1985,DRF27,8.9,Low Fat,0.03,Dairy,152.23,OUT027,Medium,Tier 3,Supermarket Type3,1071.94,163181.43,High,3633620.22,2483.68
1999,NCN43,12.2,Low Fat,0.01,Others,124.47,OUT049,Medium,Tier 1,Supermarket Type1,1231.73,153313.43,Medium,2183969.98,2348.35
